index,Ikz2_0,Ikz2_995,Ikz2_4844,Ikz2_8757,Ikz2_12635,Ikz2_16102,Ikz2_19470,Uobr_0,Uobr_995,Uobr_4844,Uobr_8757,Uobr_12635,Uobr_16102,Uobr_19470,Uzp_0,Uzp_995,Uzp_4844,Uzp_8757,Uzp_12635,Uzp_16102,Uzp_19470,Iutz1_0,Iutz1_995,Iutz1_4844,Iutz1_8757,Iutz1_12635,Iutz1_16102,Iutz1_19470,Iutz2_0,Iutz2_995,Iutz2_4844,Iutz2_8757,Iutz2_12635,Iutz2_16102,Iutz2_19470,Usi_0,Usi_995,Usi_4844,Usi_8757,Usi_12635,Usi_16102,Usi_19470,Rsi_0,Rsi_995,Rsi_4844,Rsi_8757,Rsi_12635,Rsi_16102,Rsi_19470,Is_0,Is_995,Is_4844,Is_8757,Is_12635,Is_16102,Is_19470
64,1.830,1.830,1.820,1.810,1.810,1.810,1.810,0.697,0.697,0.693,0.692,0.692,0.691,0.689,2.843,2.772,2.769,2.604,2.588,2.529,2.505,19.440,18.490,16.960,15.425,15.900,15.560,12.640,23.000,19.000,18.573,18.145,17.565,14.550,11.535,3.800,3.810,3.820,3.840,3.860,3.790,3.760,508.100,507.978,507.855,511.673,515.491,504.109,501.590,6.260,6.224,6.231,6.238,6.245,6.252,6.210
65,1.825,1.825,1.825,1.815,1.810,1.810,1.810,0.697,0.695,0.693,0.692,0.690,0.690,0.690,2.738,2.658,2.650,2.463,2.449,2.410,2.401,19.770,19.600,19.615,17.130,16.820,16.235,15.190,22.230,20.613,18.995,17.975,17.240,16.505,9.175,3.860,3.870,3.870,3.940,3.920,3.830,3.870,508.000,507.682,507.364,511.382,515.400,511.564,517.080,6.176,6.116,6.127,6.138,6.149,6.160,6.020
66,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.695,0.693,0.686,0.679,0.678,0.677,0.671,2.659,2.526,2.492,2.151,2.131,2.092,1.967,19.830,19.460,19.265,17.345,16.610,16.218,15.825,23.220,21.165,19.110,18.748,18.385,17.415,10.715,3.800,3.820,3.810,3.860,3.840,3.740,3.770,502.900,504.123,505.346,505.373,505.400,493.928,498.530,6.312,6.256,6.281,6.306,6.331,6.356,6.220
67,1.825,1.825,1.825,1.810,1.805,1.805,1.805,0.698,0.695,0.694,0.693,0.692,0.690,0.690,2.834,2.781,2.773,2.615,2.605,2.511,2.498,20.810,20.630,19.040,15.285,14.530,14.353,14.175,21.480,20.658,19.835,18.195,16.368,14.540,11.345,3.700,3.800,3.800,3.840,3.820,3.750,3.770,495.500,499.200,500.110,499.755,499.400,490.382,493.590,6.392,6.348,6.371,6.394,6.417,6.440,6.280
68,1.835,1.830,1.820,1.815,1.810,1.810,1.810,0.698,0.698,0.697,0.696,0.694,0.694,0.693,2.905,2.860,2.816,2.771,2.770,2.733,2.723,20.990,20.125,19.810,14.985,12.950,12.208,11.465,21.370,20.403,19.435,17.780,17.510,16.665,10.240,3.840,3.860,3.840,3.890,3.870,3.780,3.820,500.900,500.946,503.946,503.673,503.400,492.546,497.810,6.316,6.300,6.319,6.338,6.357,6.376,6.270
69,1.830,1.825,1.825,1.815,1.810,1.810,1.805,0.692,0.690,0.684,0.678,0.676,0.670,0.670,2.571,2.464,2.421,2.131,2.111,1.942,1.936,19.280,19.240,19.375,16.435,15.875,15.225,14.445,19.650,19.040,18.970,18.900,12.975,11.313,9.650,3.700,3.730,3.710,3.760,3.740,3.650,3.690,497.000,499.928,498.746,498.846,498.945,488.655,493.730,6.352,6.336,6.359,6.382,6.405,6.428,6.310
70,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.698,0.698,0.696,0.695,0.694,0.693,0.693,2.808,2.754,2.699,2.643,2.629,2.562,2.542,21.500,20.723,19.945,16.070,15.090,13.405,13.055,21.030,20.500,20.105,19.710,17.785,15.860,9.480,3.880,3.900,3.880,3.930,3.910,3.810,3.840,507.900,507.405,506.910,510.928,514.945,507.546,515.220,6.180,6.128,6.151,6.174,6.197,6.220,6.060
71,1.825,1.825,1.825,1.810,1.810,1.805,1.805,0.688,0.683,0.673,0.654,0.652,0.643,0.642,2.311,2.174,2.114,1.753,1.748,1.740,1.724,18.080,18.755,18.515,17.050,15.585,15.360,15.165,20.000,19.838,19.675,18.915,14.825,12.843,10.860,3.730,3.760,3.740,3.770,3.740,3.650,3.720,500.300,501.091,502.655,501.619,500.582,489.964,498.060,6.344,6.304,6.328,6.352,6.376,6.400,6.220
72,1.830,1.830,1.825,1.810,1.810,1.810,1.810,0.700,0.698,0.698,0.697,0.697,0.696,0.696,3.098,2.926,2.753,2.764,2.764,2.761,2.758,17.950,19.275,18.740,15.035,13.648,12.260,11.635,24.290,19.255,18.228,17.200,16.090,13.250,10.410,3.910,3.970,3.960,4.020,4.040,3.940,3.980,508.100,507.787,507.473,511.964,516.454,526.200,517.790,6.108,6.096,6.091,6.086,6.081,6.076,5.930
73,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.702,0.699,0.699,0.698,0.697,0.697,0.696,3.327,3.253,2.905,2.790,2.772,2.765,2.758,19.760,19.680,18.050,16.515,16.425,16.335,14.540,19.970,19.820,19.690,19.560,19.205,18.850,9.400,3.940,3.950,3.940,4.000,3.970,3.890,3.950,508.700,508.105,507.510,511.546,515.582,525.855,517.390,6.032,6.072,6.074,6.076,6.078,6.080,5.950
74,1.825,1.825,1.825,1.815,1.810,1.810,1.810,0.693,0.689,0.682,0.674,0.672,0.666,0.666,2.518,2.403,2.342,2.041,2.019,1.961,1.903,18.860,18.770,17.930,15.755,14.495,14.278,14.060,19.090,18.635,17.978,17.320,15.585,13.095,10.605,3.820,3.850,3.840,3.880,3.870,3.780,3.820,504.200,505.719,507.237,508.664,510.091,497.018,503.440,6.272,6.228,6.260,6.292,6.324,6.356,6.190
75,1.830,1.830,1.820,1.815,1.815,1.810,1.810,0.701,0.696,0.690,0.686,0.683,0.680,0.679,3.045,2.896,2.562,2.298,2.271,2.264,2.257,18.210,18.995,17.785,16.723,15.660,15.610,15.560,19.900,19.655,19.410,18.875,18.340,13.430,8.520,3.960,3.980,3.970,4.010,4.010,3.900,3.940,507.900,507.487,507.073,511.182,515.291,516.473,517.010,6.104,6.088,6.114,6.140,6.166,6.192,6.020
76,1.825,1.825,1.825,1.815,1.810,1.810,1.810,0.702,0.702,0.701,0.701,0.700,0.700,0.699,3.436,3.385,3.300,3.294,3.291,3.285,3.276,18.220,18.480,18.450,14.335,13.840,12.950,11.960,23.450,19.900,19.585,18.765,17.945,14.303,10.660,3.920,3.960,3.950,4.000,4.000,3.900,3.940,507.800,507.491,507.182,511.382,515.582,525.673,516.900,6.896,6.108,6.110,6.112,6.114,6.116,5.980
77,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.702,0.700,0.700,0.700,0.699,0.699,0.698,3.494,3.276,2.964,2.942,2.931,2.916,2.902,19.930,19.910,19.790,18.455,17.120,15.585,13.525,23.060,20.755,19.440,16.625,15.770,14.915,12.425,3.990,4.010,4.000,4.060,4.040,3.950,3.990,507.900,507.332,506.764,510.837,514.909,517.909,516.410,6.104,6.128,6.129,6.130,6.131,6.132,6.030
78,1.830,1.830,1.825,1.815,1.810,1.810,1.810,0.690,0.683,0.675,0.654,0.651,0.640,0.639,2.500,2.271,2.228,1.791,1.777,1.740,1.725,19.350,19.060,18.670,17.390,16.885,16.615,16.660,23.640,22.720,20.860,19.000,18.908,18.815,8.915,3.720,3.740,3.730,3.780,3.760,3.670,3.710,495.900,498.909,498.382,498.427,498.472,487.418,493.100,6.384,6.364,6.392,6.420,6.448,6.476,6.290
79,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.702,0.702,0.701,0.701,0.700,0.700,0.699,3.502,3.493,3.467,3.443,3.440,3.434,3.441,20.690,20.495,18.580,15.280,13.645,13.433,13.220,20.140,19.700,19.300,19.115,18.953,18.790,13.730,3.920,3.940,3.930,3.980,3.960,3.880,3.910,508.300,507.796,507.291,511.273,515.254,525.637,516.930,6.112,6.088,6.089,6.090,6.091,6.092,5.980
80,1.830,1.830,1.825,1.820,1.820,1.820,1.810,0.701,0.699,0.695,0.695,0.694,0.693,0.693,2.843,2.798,2.746,2.551,2.528,2.521,2.514,18.960,18.840,17.615,16.390,15.600,15.525,14.800,19.850,19.580,18.330,17.128,15.925,13.225,10.525,4.060,4.070,4.060,4.110,4.100,4.000,4.040,509.500,508.923,508.346,512.455,516.563,526.728,517.700,5.920,5.944,5.954,5.964,5.974,5.984,5.890
82,1.825,1.825,1.825,1.815,1.815,1.815,1.810,0.699,0.698,0.692,0.686,0.684,0.680,0.679,2.764,2.675,2.502,2.261,2.177,2.092,2.123,20.000,19.900,18.530,16.660,16.518,16.375,16.045,23.950,21.975,20.000,19.950,19.420,18.880,8.525,4.150,4.160,4.170,4.210,4.200,4.100,4.150,508.800,508.600,508.400,512.237,516.073,526.473,517.410,6.012,5.968,5.980,5.992,6.004,6.016,5.910
83,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.699,0.697,0.696,0.695,0.696,0.695,0.695,3.239,3.116,2.949,2.949,2.957,2.942,2.953,19.350,18.440,17.370,15.105,13.840,13.215,13.065,23.280,19.825,19.055,18.410,16.665,13.750,10.835,3.690,3.710,3.710,3.750,3.720,3.630,3.680,486.700,488.000,488.691,488.282,487.873,477.637,483.370,6.476,6.484,6.500,6.516,6.532,6.548,6.400
84,1.825,1.825,1.825,1.815,1.810,1.810,1.810,0.700,0.699,0.699,0.698,0.699,0.696,0.695,3.116,3.046,2.975,2.957,2.957,2.944,2.953,19.970,19.965,18.485,17.855,17.225,16.093,14.960,20.200,19.560,18.920,17.450,16.850,16.250,9.845,3.950,3.920,3.920,3.950,4.020,3.840,3.880,505.400,505.982,506.564,510.655,514.745,502.564,508.520,6.248,6.244,6.255,6.266,6.277,6.288,6.160
87,1.825,1.825,1.825,1.815,1.810,1.815,1.815,0.701,0.701,0.695,0.692,0.691,0.685,0.684,2.659,2.649,2.606,2.333,2.252,2.171,2.193,18.790,18.956,18.850,15.970,13.620,13.345,13.070,23.960,20.395,19.413,18.430,12.340,10.798,9.255,4.300,4.320,4.320,4.360,4.350,4.250,4.260,510.200,509.755,509.310,513.182,517.054,527.528,521.820,5.828,5.840,5.852,5.864,5.876,5.888,5.830
88,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.698,0.697,0.697,0.696,0.696,0.695,0.695,2.940,2.886,2.870,2.793,2.781,2.764,2.773,17.940,20.825,18.370,14.370,13.315,12.260,11.915,19.160,18.000,17.675,17.350,17.238,17.126,8.185,3.830,3.860,3.840,3.890,3.880,3.790,3.800,499.900,500.237,502.364,503.019,503.673,493.218,495.210,6.344,6.328,6.350,6.372,6.394,6.416,6.320
89,1.825,1.825,1.825,1.815,1.815,1.815,1.805,0.699,0.699,0.698,0.697,0.697,0.696,0.696,2.993,2.967,2.940,2.920,2.913,2.907,2.916,18.500,18.345,18.190,15.390,13.960,12.710,12.660,20.230,19.988,19.745,16.578,13.410,11.290,9.170,3.870,3.890,3.880,3.920,3.900,3.820,3.820,507.700,506.878,506.055,509.864,513.673,507.473,509.420,6.172,6.176,6.189,6.202,6.215,6.228,6.130
90,1.830,1.825,1.820,1.815,1.810,1.810,1.810,0.688,0.687,0.675,0.666,0.653,0.648,0.642,2.219,2.210,2.096,1.830,1.746,1.740,1.740,18.710,18.533,18.355,17.745,17.135,15.880,13.870,20.540,20.300,19.040,17.780,12.540,11.573,10.605,3.870,3.900,3.880,3.920,3.890,3.810,3.810,507.400,506.782,506.164,509.900,513.636,508.000,509.350,6.152,6.148,6.164,6.180,6.196,6.212,6.120
91,1.830,1.830,1.825,1.815,1.815,1.815,1.815,0.702,0.702,0.696,0.696,0.694,0.691,0.691,2.852,2.772,2.738,2.527,2.455,2.382,2.404,22.660,22.515,20.045,18.300,16.555,12.365,12.040,22.860,22.800,21.198,19.595,17.855,15.780,13.705,4.210,4.230,4.230,4.280,4.250,4.160,4.180,509.700,509.105,508.510,512.310,516.109,526.891,520.100,5.884,5.888,5.914,5.940,5.966,5.992,5.900
92,1.830,1.830,1.825,1.815,1.810,1.810,1.810,0.689,0.689,0.688,0.688,0.687,0.687,0.686,2.843,2.816,2.808,2.755,2.764,2.758,2.758,19.830,18.360,19.825,14.865,14.148,13.430,13.270,20.400,20.125,19.850,17.750,17.683,17.615,14.060,3.640,3.680,3.670,3.700,3.680,3.580,3.590,471.400,474.746,474.928,474.846,474.763,463.091,464.210,6.712,6.616,6.654,6.692,6.730,6.768,6.670
93,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.697,0.696,0.695,0.693,0.693,0.692,0.691,2.843,2.790,2.799,2.685,2.684,2.652,2.661,17.880,19.210,18.625,17.573,16.520,16.245,16.145,20.280,19.390,18.500,16.578,14.655,14.035,11.405,3.800,3.820,3.820,3.860,3.840,3.750,3.780,507.400,506.928,506.455,509.991,513.527,499.582,503.330,6.276,6.252,6.270,6.288,6.306,6.324,6.210
94,1.830,1.825,1.825,1.810,1.810,1.810,1.805,0.691,0.686,0.681,0.677,0.674,0.673,0.673,2.465,2.292,2.149,2.079,2.060,2.046,2.072,18.620,18.285,17.208,16.130,15.430,13.235,12.680,20.780,19.995,19.210,18.700,16.613,14.525,11.835,3.860,3.880,3.870,3.910,3.890,3.800,3.800,502.700,502.905,503.110,502.855,502.600,491.309,492.530,6.316,6.352,6.363,6.374,6.385,6.396,6.350
96,1.830,1.830,1.820,1.820,1.820,1.820,1.815,0.695,0.696,0.690,0.692,0.692,0.691,0.691,2.782,2.737,2.711,2.683,2.684,2.661,2.663,18.640,18.525,18.410,16.795,16.530,16.130,15.730,20.050,19.460,18.200,17.375,16.550,12.545,8.540,3.640,3.660,3.660,3.690,3.660,3.570,3.570,483.700,486.055,486.473,485.764,485.054,473.328,475.040,6.552,6.540,6.563,6.586,6.609,6.632,6.560
102,1.825,1.825,1.825,1.820,1.815,1.815,1.805,0.697,0.695,0.689,0.686,0.685,0.679,0.678,2.676,2.570,2.536,2.289,2.269,2.123,2.061,19.760,19.605,19.755,17.970,17.860,16.885,15.910,20.370,19.750,19.448,19.145,16.375,15.248,14.120,3.960,3.970,3.970,3.990,4.020,3.920,3.910,508.000,507.028,506.055,513.155,520.254,524.018,520.930,6.108,6.080,6.091,6.102,6.113,6.124,6.090
104,1.830,1.830,1.825,1.820,1.820,1.815,1.810,0.692,0.686,0.676,0.656,0.655,0.647,0.646,2.456,2.307,2.158,1.773,1.762,1.740,1.740,20.620,20.200,20.135,16.735,14.940,14.730,14.300,20.480,20.290,20.100,19.960,19.713,19.465,9.875,3.950,3.950,3.940,3.980,4.020,3.970,3.900,507.700,506.796,505.891,512.437,518.982,523.473,518.550,6.136,6.148,6.127,6.106,6.085,6.064,6.130
105,1.830,1.830,1.825,1.820,1.815,1.815,1.810,0.701,0.700,0.699,0.698,0.698,0.698,0.698,2.949,2.945,2.940,2.936,2.931,2.931,2.928,20.210,20.105,19.465,18.210,16.955,16.240,15.510,22.300,21.975,19.830,17.685,17.130,16.575,13.285,3.910,3.920,3.910,3.950,3.980,3.860,3.840,508.600,507.591,506.582,513.091,519.600,523.437,520.100,6.100,6.096,6.101,6.106,6.111,6.116,6.040
108,1.825,1.825,1.825,1.815,1.815,1.815,1.815,0.699,0.698,0.698,0.697,0.697,0.697,0.695,2.949,2.921,2.913,2.841,2.843,2.834,2.837,18.460,19.070,18.503,17.935,17.325,16.318,15.310,23.830,23.530,21.180,18.365,17.965,17.565,10.425,3.820,3.830,3.830,3.850,3.870,3.760,3.750,497.700,499.582,500.910,502.164,503.418,489.637,488.990,6.364,6.372,6.382,6.392,6.402,6.412,6.390
109,1.830,1.830,1.825,1.815,1.815,1.815,1.810,0.698,0.697,0.695,0.693,0.693,0.693,0.692,2.703,2.658,2.659,2.544,2.550,2.485,2.472,19.550,19.350,19.260,17.385,16.810,15.518,14.225,23.280,21.473,19.665,17.770,17.265,14.070,10.930,3.860,3.870,3.870,3.900,3.920,3.820,3.810,508.100,506.778,505.455,511.900,518.345,507.000,505.150,6.196,6.224,6.219,6.214,6.209,6.204,6.200
110,1.830,1.830,1.825,1.815,1.815,1.815,1.815,0.701,0.702,0.700,0.698,0.698,0.698,0.698,3.019,3.001,2.993,2.911,2.911,2.892,2.881,18.250,19.375,18.218,17.060,16.800,16.558,16.315,23.000,22.625,20.050,19.570,19.410,19.250,19.075,3.990,4.000,4.000,4.020,4.030,3.930,3.930,509.000,508.082,507.164,513.409,519.654,522.691,522.420,6.036,6.016,6.028,6.040,6.052,6.064,5.960
113,1.830,1.825,1.825,1.820,1.815,1.815,1.800,0.699,0.698,0.695,0.693,0.692,0.691,0.691,2.790,2.728,2.620,2.533,2.520,2.421,2.403,19.840,19.775,18.855,18.693,18.530,17.825,17.765,20.730,20.040,19.350,19.155,17.895,14.350,13.000,3.990,4.000,4.010,4.040,4.080,3.980,3.970,508.700,507.432,506.164,513.828,521.491,522.618,520.930,6.092,6.040,6.059,6.078,6.097,6.116,6.020
114,1.830,1.830,1.825,1.820,1.810,1.810,1.810,0.701,0.702,0.700,0.698,0.698,0.698,0.697,2.870,2.860,2.852,2.832,2.830,2.827,2.813,22.040,21.815,19.280,11.680,11.335,10.990,10.170,21.350,20.990,20.630,18.395,16.443,14.490,8.920,3.920,3.930,3.920,3.940,3.960,3.860,3.850,508.300,507.114,505.928,513.137,520.345,522.164,519.990,6.048,6.096,6.101,6.106,6.111,6.116,6.080
116,1.830,1.830,1.825,1.820,1.815,1.815,1.810,0.694,0.690,0.680,0.670,0.665,0.654,0.652,2.571,2.420,2.325,1.940,1.930,1.877,1.824,20.610,19.035,18.330,16.635,15.450,14.800,14.150,20.320,19.060,18.680,18.000,16.275,14.550,10.395,3.910,3.920,3.910,3.940,3.960,3.860,3.850,508.100,506.987,505.873,511.055,516.236,500.328,499.130,6.288,6.308,6.308,6.308,6.308,6.308,6.280
117,1.830,1.825,1.825,1.820,1.815,1.810,1.810,0.699,0.698,0.696,0.694,0.694,0.694,0.693,2.834,2.781,2.773,2.621,2.605,2.522,2.504,20.780,20.675,20.305,14.895,12.360,12.230,11.825,20.080,19.365,18.905,18.585,16.570,14.055,11.540,3.950,3.960,3.950,3.980,4.020,3.910,3.900,508.500,507.269,506.037,512.964,519.891,523.164,523.500,6.080,6.104,6.104,6.104,6.104,6.104,6.080
118,1.825,1.830,1.825,1.815,1.815,1.815,1.815,0.697,0.694,0.683,0.672,0.672,0.671,0.671,2.808,2.561,2.412,2.072,2.049,2.028,2.013,19.290,19.130,17.990,16.850,16.455,15.833,15.210,20.260,19.905,19.563,19.220,17.530,16.850,10.910,3.860,3.870,3.870,3.890,3.920,3.820,3.810,507.400,506.519,505.637,511.610,517.582,500.764,498.950,6.292,6.304,6.304,6.304,6.304,6.304,6.300
119,1.825,1.825,1.820,1.815,1.815,1.815,1.815,0.693,0.693,0.685,0.673,0.670,0.665,0.663,2.509,2.491,2.404,2.024,1.990,1.835,1.821,19.110,19.150,18.270,16.820,16.060,13.410,13.390,20.010,19.920,19.830,17.585,15.340,12.720,11.000,3.900,3.900,3.900,3.920,3.940,3.830,3.830,508.000,506.519,505.037,511.346,517.654,505.346,505.480,6.168,6.212,6.226,6.240,6.254,6.268,6.220
121,1.825,1.825,1.825,1.820,1.820,1.815,1.815,0.700,0.698,0.697,0.695,0.695,0.695,0.695,3.160,2.948,2.887,2.863,2.858,2.852,2.842,20.740,20.520,18.995,16.890,12.650,11.395,11.130,20.840,20.683,20.525,19.400,16.740,14.080,10.590,3.850,3.850,3.850,3.870,3.880,3.790,3.770,507.700,506.305,504.910,511.219,517.527,506.237,505.280,6.204,6.180,6.194,6.208,6.222,6.236,6.230
122,1.830,1.830,1.825,1.820,1.820,1.820,1.815,0.697,0.695,0.692,0.687,0.688,0.687,0.686,2.682,2.667,2.650,2.377,2.350,2.215,2.198,20.270,19.895,19.270,15.720,15.605,13.945,13.440,20.600,20.415,20.230,19.818,19.405,16.930,9.585,4.000,3.990,3.990,4.010,4.020,3.930,3.930,507.900,506.596,505.291,511.255,517.218,504.546,505.220,6.164,6.232,6.250,6.268,6.286,6.304,6.200
123,1.830,1.830,1.825,1.820,1.820,1.820,1.820,0.694,0.692,0.686,0.684,0.683,0.680,0.679,2.562,2.508,2.465,2.261,2.245,2.144,2.129,19.060,19.035,19.010,16.975,15.300,11.900,11.885,20.590,20.265,19.940,19.900,17.500,15.100,13.000,3.850,3.860,3.850,3.870,3.890,3.790,3.780,508.000,506.737,505.473,511.446,517.418,501.546,501.500,6.252,6.272,6.292,6.312,6.332,6.352,6.250
124,1.830,1.825,1.825,1.820,1.820,1.820,1.815,0.701,0.700,0.698,0.697,0.697,0.696,0.696,3.034,2.939,2.922,2.808,2.807,2.749,2.738,19.670,19.235,17.875,16.630,17.180,14.550,14.245,20.200,20.150,20.060,19.640,19.025,18.410,17.430,3.930,3.930,3.930,3.940,3.950,3.860,3.850,505.300,505.641,505.982,511.982,517.982,521.400,521.060,6.092,6.132,6.137,6.142,6.147,6.152,6.110
127,1.830,1.830,1.825,1.820,1.815,1.810,1.805,0.699,0.698,0.697,0.696,0.697,0.697,0.696,3.045,3.036,3.019,2.984,2.984,2.984,2.980,18.540,18.995,18.599,18.203,16.850,13.360,13.265,19.630,20.360,19.900,18.130,15.650,13.170,12.185,3.850,3.860,3.850,3.870,3.890,3.800,3.790,507.700,509.050,510.400,515.282,520.163,508.782,507.370,6.176,6.240,6.239,6.238,6.237,6.236,6.190
128,1.825,1.825,1.820,1.820,1.815,1.815,1.815,0.697,0.695,0.690,0.687,0.687,0.685,0.683,2.694,2.614,2.604,2.377,2.350,2.248,2.232,18.990,18.930,18.695,15.945,13.990,12.470,12.410,21.320,21.210,19.065,17.855,16.328,14.800,11.080,3.870,3.840,3.830,3.850,3.870,3.770,3.760,506.000,506.200,506.400,507.946,509.491,496.928,495.410,6.300,6.348,6.350,6.352,6.354,6.356,6.360
129,1.825,1.825,1.820,1.820,1.820,1.820,1.820,0.702,0.699,0.694,0.688,0.688,0.683,0.683,2.738,2.605,2.447,2.289,2.269,2.114,2.108,20.140,19.935,19.150,15.600,14.153,12.705,12.695,23.960,21.700,20.525,17.820,14.990,14.560,14.130,4.270,4.270,4.270,4.300,4.330,4.240,4.230,510.000,511.082,512.164,516.373,520.582,524.382,523.320,5.904,5.924,5.925,5.926,5.927,5.928,5.890
130,1.830,1.830,1.820,1.815,1.810,1.810,1.810,0.700,0.698,0.692,0.692,0.691,0.688,0.688,2.843,2.702,2.667,2.465,2.441,2.333,2.322,18.320,18.345,18.220,16.538,14.855,10.805,10.520,21.480,20.390,19.938,19.485,18.795,18.105,17.850,4.020,4.020,4.020,4.030,4.050,3.950,3.940,509.200,510.028,510.855,514.819,518.782,522.691,521.590,6.024,6.032,6.046,6.060,6.074,6.088,6.040
131,1.825,1.825,1.825,1.820,1.815,1.815,1.815,0.703,0.700,0.699,0.698,0.698,0.698,0.698,3.204,3.057,2.940,2.870,2.869,2.845,2.835,18.500,19.345,19.340,18.350,17.360,15.520,15.040,20.000,19.895,19.790,19.045,18.300,17.960,17.620,3.980,3.980,3.970,3.990,4.010,3.910,3.900,507.700,508.196,508.691,512.664,516.636,507.091,505.420,6.204,6.204,6.217,6.230,6.243,6.256,6.240
132,1.830,1.825,1.820,1.820,1.820,1.820,1.820,0.702,0.701,0.700,0.699,0.699,0.698,0.698,3.318,3.308,3.291,3.266,3.258,3.252,3.248,17.870,19.300,19.025,18.148,17.270,11.955,11.715,20.350,20.195,19.393,18.590,17.698,16.805,10.195,3.870,3.880,3.860,3.890,3.910,3.810,3.800,507.600,508.010,508.419,512.546,516.672,507.782,504.790,6.176,6.204,6.215,6.226,6.237,6.248,6.210
133,1.825,1.825,1.825,1.820,1.815,1.815,1.815,0.698,0.699,0.697,0.695,0.694,0.693,0.693,2.913,2.816,2.808,2.652,2.640,2.564,2.554,19.040,18.935,19.525,18.695,17.865,12.190,12.005,21.000,20.395,20.050,19.705,17.555,15.405,15.000,3.960,3.970,3.960,3.980,4.000,3.900,3.900,509.000,509.410,509.819,513.873,517.927,522.182,521.210,6.064,6.096,6.094,6.092,6.090,6.088,6.070
134,1.825,1.825,1.820,1.820,1.820,1.820,1.820,0.700,0.700,0.699,0.699,0.699,0.698,0.697,2.931,2.930,2.922,2.918,2.911,2.907,2.902,17.360,17.995,18.105,17.935,17.680,15.633,13.585,22.090,20.638,19.185,18.185,15.878,13.570,13.480,3.900,3.910,3.900,3.930,3.960,3.860,3.840,508.600,509.064,509.528,513.664,517.800,519.546,520.920,6.060,6.096,6.102,6.108,6.114,6.120,6.030
135,1.830,1.830,1.825,1.820,1.820,1.820,1.815,0.702,0.702,0.700,0.699,0.698,0.698,0.698,3.300,3.282,3.247,3.204,3.203,3.197,3.189,20.560,19.945,19.565,15.925,13.960,12.270,12.005,20.890,20.730,20.570,19.375,18.223,17.070,15.445,3.910,3.920,3.920,3.930,3.950,3.850,3.840,508.400,508.746,509.091,513.218,517.345,521.637,520.330,6.072,6.104,6.111,6.118,6.125,6.132,6.110
136,1.830,1.830,1.820,1.820,1.815,1.815,1.815,0.701,0.700,0.699,0.698,0.698,0.697,0.697,3.107,3.097,3.089,3.082,3.071,3.065,3.063,19.690,18.960,19.030,15.980,14.968,13.955,13.180,20.400,20.200,19.465,18.800,18.745,18.690,18.650,3.910,3.920,3.910,3.920,3.940,3.850,3.830,508.600,508.855,509.110,513.246,517.382,521.837,520.130,6.076,6.064,6.087,6.110,6.133,6.156,6.110
138,1.830,1.825,1.825,1.820,1.815,1.810,1.810,0.700,0.700,0.699,0.698,0.698,0.697,0.697,3.274,3.168,3.098,3.079,3.060,3.054,3.049,17.930,17.890,16.805,15.720,14.775,14.690,14.070,19.600,20.350,19.995,18.710,16.413,14.115,14.000,3.820,3.830,3.810,3.830,3.840,3.750,3.740,502.700,503.160,503.619,504.301,504.982,493.328,491.530,6.316,6.360,6.372,6.384,6.396,6.408,6.370
